title_dd,body_dd
"토스 ""증자 자신 없었다면 인터넷은행 시작도 안했다""",‘28 대 8.’
"토스 ""증자 자신 없었다면 인터넷은행 시작도 안했다""","새 인터넷전문은행 인가 경쟁은 ‘토스뱅크’와 ‘키움뱅크’ 컨소시엄 간 ‘다윗과 골리앗의 싸움’이 돼 버렸다. 키움뱅크에는 하나은행 SKT 키움증권 롯데(세븐일레븐ㆍ롯데멤버스) 11번가 하나투어 등 각 업계를 대표하는 대형 업체들이 무려 28개나 참여한 반면, 8개 기업이 참여한 토스뱅크는 대부분 해외 벤처캐피탈이나 스타트업 등 지명도가 낮은 군소 업체들로 구성돼서다."
"토스 ""증자 자신 없었다면 인터넷은행 시작도 안했다""","자금력을 갖춘 신한금융ㆍ현대해상 등의 이탈로 토스뱅크가 위기에 처하면서 예견되기도 했지만, 양 컨소시엄 면면의 차이는 상당하다. 토스뱅크에 한화투자증권이 막판에 참여하면서 그나마 구색을 갖췄다. 이 때문에 인터넷은행 인가의 가장 큰 취지인 ‘혁신’에 강점이 있다고 평가되는 토스뱅크라도 은행업의 근간인 자본력이나 안정적인 운영이 어려울 것이란 우려가 계속 나오는 상황이다."
"토스 ""증자 자신 없었다면 인터넷은행 시작도 안했다""","이쯤 되면 누구나 주눅들법하지만, 토스뱅크를 주도하는 핀테크 기업 ‘비바리퍼블리카’의 이승건 대표는 자신감이 넘쳤다. 이 대표는 28일 서울 강남구 비바리퍼블리카 본사에서 기자간담회를 열어 “증자에 자신감이 없었다면 애초 시작하지도 않았을 것”이라며 “향후 2년 이내에 1조원 이상의 자본금 유치계획을 갖고 있다”고 강조했다."
"토스 ""증자 자신 없었다면 인터넷은행 시작도 안했다""","그는 그 근거로 토스뱅크 지분 19.3%를 확보한 해외 벤처캐피탈 3곳(알토스벤처스ㆍ굿워터캐피탈ㆍ리빗캐피탈)이 비바리퍼블리카의 간편 송금서비스 ‘토스’에 투자하고 오랫동안 지지해준 주요 주주임을 꼽았다. 그는 “토스가 합법인지 불법인지 불명확하고, 중도에 서비스가 중단됐을 때도 알토스는 100만달러를 투자했다”며 “사실상 성공할 때까지 장기적으로 동반자로 참여한 걸로 볼 수 있다”고 말했다."
"토스 ""증자 자신 없었다면 인터넷은행 시작도 안했다""","이 대표는 기존 은행과의 차별화도 내세웠다. 그는 “그간 중금리 대출 비롯한 새 신용평가모델(CSS) 개발에 한계가 있었지만, 우리는 이 문제를 풀 수 있다”고 자신했다. 그는 “통계상 국민 1명이 평균 은행계좌 5.4개, 카드 3.2개를 보유하고 있어 한 금융기관이 고객의 전체 금융생활을 파악하기 어렵다”며 “토스는 고객 동의 하에 금융계좌와 카드이용 명세를 한곳에 모으는 금융 플랫폼 서비스라 정교한 CSS 개발이 가능하다”고 덧붙였다."
"토스 ""증자 자신 없었다면 인터넷은행 시작도 안했다""","이 대표는 금융주력자 지위 논란에 대해서도 “처음 법인을 ‘전자금융업’으로 등록했고, 전자금융업자는 통계청 산업분류체계에서 ‘금융 및 보험업’에 속해 금융주력자로 인정받는 데 문제가 없다”고 설명했다."
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",[아시아경제 문혜원 기자] 탄탄한 자본과 네트워크를 앞세운 '키움뱅크'와 혁신성을 내세운 '토스뱅크'가 인터넷은행에 새바람을 몰고 올 수 있을까.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",28일 금융권에 따르면 키움뱅크 컨소시엄과 토스뱅크 컨소시엄 등 3곳은 전날 금융위원회에 제3인터넷은행 예비인가 신청서를 제출했다.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?","3곳이 신청서를 냈지만 키움과 토스쪽이 무난히 인터넷은행 허가를 받을 것이란 게 업계 안팎의 관측이다. 개인 3명이 '애니밴드 스마트은행'이라는 이름으로 신청서를 냈지만, 서류 미비로 향후 신청이 반려될 수 있다는 게 금융당국의 설명이다."
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?","키움뱅크쪽의 가장 큰 장점은 기존 금융과 통신, 유통의 강자들이 모였다는 점이다. 키움뱅크는 키움증권과 다우기술, 하나금융지주, SK텔레콤, 롯데그룹 계열사(세븐일레븐, 롯데멤버스), 11번가, 웰컴저축은행 등 28곳이 주주를 구성하고 있다. 자본 규모가 중요한 은행업 특성을 감안할 때 그만큼 유리한 주주 구성이다."
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",금융ㆍ유통ㆍ여행ㆍICT 등 다양한 분야의 업체들이 포진한 만큼 이들을 활용한 디지털 생활 금융 플랫폼을 만들겠다는 게 키움뱅크쪽 계획이다.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?","키움뱅크는  ""예금ㆍ대출 중심의 기존 은행 업무 틀을 넘어서 365일 24시간 즐겁게 이용할 수 있는 디지털 생활 금융 플랫폼으로 진화하겠다""며 ""5G 기술력을 바탕으로 핀테크 신기술을 융합한 사물인터넷(IoT) 뱅킹, 증강현실(AR)을 활용한 부동산 금융, 가상현실(VR) 기반의 가상지점 등 혁신적인 디지털뱅킹 서비스를 제공할 계획""이라고 밝혔다."
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",예컨대 롯데그룹내 계열사 3900만명의 회원을 거느린 롯데멤버스의 막강한 유통ㆍ소비 정보를 활용해 기존 금융권의 신용등급을 보완할 수 있는 '소비등급'을 개발해 금융 소외계층 지원을 강화할 수 있다. 또 편의점 세븐일레븐에 비치된 ATM에서 음파 기술을 활용한 모바일 입출금ㆍ결제 서비스도 제공할 계획이다.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",다만 일각에서는 기존 대형 금융사와 대기업 계열사들의 입김이 세 혁신적인 서비스를 내놓을 수 있을지에 대한 의구심이 제기되기도 한다.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",반면 스타트업과 벤처캐피털을 위주로 주주를 구성한 토스뱅크는 자본력 대신 혁신성을 무기로 들었다. 글로벌 '챌린저뱅크(소규모 특화은행)'를 모델로 금융 소외계층 등 틈새고객을 겨냥한 혁신적인 인터넷뱅크를 설립하겠단 포부다.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",토스뱅크는 간편송금 플랫폼 '토스'를 운영하는 비바리퍼블리카가 지분 60.8%를 가지는 1대주주다. 과점주주들이 지분을 엇비슷하게 나눠가지는 게 아니라 토스측이 압도적 지분을 가지고 있는 만큼 혁신을 내세운 토스의 영향력이 고스란히 토스뱅크에 반영될 것으로 보인다.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",당초 토스 컨소시엄에 참여하기로 했다가 빠진 신한금융지주와 현대해상화재 자리에 실리콘밸리의 벤처캐피털(VC)을 유치한 것도 이런 맥락에서 해석할 수 있다. 토스측은 실리콘밸리의 VC 알토스벤처스와 영국 챌린저뱅크 몬조의 투자사 굿워터캐피털 등 핀테크 투자 경험이 많은 글로벌 벤처캐피털들의 역할에 기대를 걸고 있다.
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?","9.9% 지분으로 2대 주주로 참여한 한화투자증권은 향후 지급 결제 서비스, 빅데이터를 활용한 금융 상품 개발 등에서 시너지를 낼 것이란 기대를 갖고 있다. 여기에 알토스벤처스와 굿워터캐피탈이 각각 9%, 한국전자인증 4%, 베스핀글로벌 4%, 무신사 2%, 리빗캐피탈 1.3%의 지분을 가지고 사업에 참여한다."
"키움뱅크 vs 토스뱅크, 인터넷銀 새바람 주인공은?",다만 대주주인 비바리퍼블리카가 아직 적자를 내고 있어 향후 자금 조달에 한계가 있을 수 있다는 지적이 나온다. 기존 인터넷전문은행 사례를 보면 3년간 1조원가량의 자본금이 필요하다.
제3인뱅 윤곽...어벤저스 키움뱅크 vs. 혁신벤처 토스뱅크,화려한 키움컨소시엄
제3인뱅 윤곽...어벤저스 키움뱅크 vs. 혁신벤처 토스뱅크,토스진영은 BM 앞세워
제3인뱅 윤곽...어벤저스 키움뱅크 vs. 혁신벤처 토스뱅크,금융위 5월께 인가
제3인뱅 윤곽...어벤저스 키움뱅크 vs. 혁신벤처 토스뱅크,"[헤럴드경제=김상수ㆍ도현정ㆍ박준규 기자]자본력과 금융사 노하우를 앞세운 ‘키움뱅크’냐, 벤처와 혁신을 강조하는 ‘토스뱅크’냐."
제3인뱅 윤곽...어벤저스 키움뱅크 vs. 혁신벤처 토스뱅크,제3인터넷전문은행 인가전에 뛰어든 두 진영은 컨소시엄 구성에서부터 내세우는 강점까지 명확히 대비된다. 각자의 장점은 상대 진영의 단점으로도 지목된다.
제3인뱅 윤곽...어벤저스 키움뱅크 vs. 혁신벤처 토스뱅크,"28일 두 컨소시엄 관계자 등에 따르면, 키움뱅크는 키움증권을 포함한 다우키움그룹이 34%의 지분으로 1대 주주다. KEB하나은행이 10%로 2대 주주로 참여하며, 세븐일레븐과 롯데멤버스 등 계열사를 통해 롯데그룹도 8%의 지분을 갖췄다. SKT는 아직 구체적 지분율이 공개되지 않았지만, 비금융 대기업 지분 보유 한도(10%)에 따라 롯데그룹과 유사한 수준을 보유한 것으로 알려졌다."
