title_dt,body_dt
기업공시[7월 25일],&lt;코스닥&gt;
장 중 기업공시[7월25일],&lt;코스닥&gt;
"HDC현대산업개발, 2834억원 규모 채무 보증 결정","이번 채무보증금액은 자기 자본 대비 15.4%이며, 채무보증 총 잔액은 3조 8348억원으로 증가했다."
"이동걸 ""이번주내 아시아나 매각공고""...25일 전망","이 회장은 이날 서울 강남구 코엑스에서 개막한 스타트업 글로벌페어인 '넥스트라이즈(NextRise)2019 서울(Seoul)'에 참석해 이같이 밝혔다. 아직까지 애경그룹 외에 아시아나항공 매각 의사를 구체적으로 밝힌 곳은 없지만 SK, 한화, GS, 롯데, 호반건설 등이 거론되고 있는 가운데 2~3곳이 인수 의사를 타진한 것으로 알려졌다."
"이동걸 ""이번주내 아시아나 매각공고""...25일 전망","다만 금융당국은 아시아나항공 매각과 관련해 말을 아끼는 모습이다. 이날 행사에 참석한 최종구 금융위원장은 기자들과 만나 ""아시아나 항공 매각 문제는 (금융당국이) 더이상 답변 드릴게 없다""면서 ""좋은 원매자가 나타나길 바랄뿐""이라고 했다."
"이동걸 ""이번주내 아시아나 매각공고""...25일 전망","한편 이날 행사에 국내 150개, 해외 50개 등 총 200여개 스타트업들과 국내 대표기업 19개사, 글로벌기업 8개사, 20개 국내외 벤처캐피탈사(VC)가 참가했다."
"이동걸 ""이번주내 아시아나 매각공고""...25일 전망","최 위원장은 환영사에서 ""우리 창업 생태계에서도 스타트업과 기존 기업의 만남, 그리고 협업을 통한 개방형 혁신을 촉진해 나갈 수 있는 방안에 대한 고민의 결과가 오늘 출범하는 넥스트라이즈 2019""라며 ""금융위는 우리경제의 혁신성장을 위해 창업생태계 활성화와 기업의 개방형 혁신문화 확산을 지원해 나갈 것""이라고 했다."
"국내 최대 스타트업 페어 '넥스트라이즈 서울' 개막…""한국판 CES·MWC 만들겠다""","이동걸 산업은행 회장이 올해 처음 열린 혁신성장 페어 '넥스트라이즈 2019 서울'을 미국의 CES(국제소비자가전박람회), 스페인의 MWC(모바일월드콩그레스) 같은 국제적인 혁신성장 축제의 장으로 발전시키겠다고 밝혔다."
"국내 최대 스타트업 페어 '넥스트라이즈 서울' 개막…""한국판 CES·MWC 만들겠다""","산업은행과 한국무역협회는 23일 서울 삼성동 코엑스에서 '넥스트라이즈 2019 서울'의 개회식을 열었다. 넥스트라이즈는 산업은행과 한국무역협회가 벤처기업협회, 벤처캐피탈협회, 국가과학기술연구회와 함께 23~24일 양일간 코엑스에서 개최하는 스타트업 페어다. 국내 벤처·스타트업 업계와 대기업, 투자자들이 대거 참석하고, 해외에서도 벤처캐피탈과 글로벌 정보기술(IT) 기업 관계자들이 현장을 직접 찾는다. 규모로만 보면 스타트업 관련 행사로는 국내 최대라는 게 산업은행의 설명이다."
"국내 최대 스타트업 페어 '넥스트라이즈 서울' 개막…""한국판 CES·MWC 만들겠다""","이틀 동안 열리는 이번 행사에는 실리콘밸리에서 1억달러 이상의 투자를 유치한 김동신 센드버드 대표, 한킴 알토스벤처스 대표, 남태희 스톰벤처스 대표, 권도균 프라이머 대표 등이 마이크를 잡고 자신의 경험과 한국 스타트업 업계의 발전 방향에 대한 의견을 들려줄 예정이다."
"국내 최대 스타트업 페어 '넥스트라이즈 서울' 개막…""한국판 CES·MWC 만들겠다""","해외 연사로는 유명 벤처캐피탈인 500 스타트업스의 크리스틴 차이 대표, 인도네시아 전자상거래 스타트업인 부칼라팍(Bukalapak)의 파즈린 라시드 대표 등이 참석한다."
"국내 최대 스타트업 페어 '넥스트라이즈 서울' 개막…""한국판 CES·MWC 만들겠다""","행사 기간 스타트업과 대기업, 투자자들의 일대일 미팅도 계속 진행된다. 삼성, 현대차, SK텔레콤, LG, 롯데 등 국내 대표 대기업들이 대거 참석해 스타트업과의 협력 기회를 모색하고, 글로벌 IT 기업인 아마존과 레노보, 바스프, 알리바바그룹도 참가한다. 사전에 신청된 일대일 미팅만 약 900건에 달한다고 산업은행은 전했다."
"국내 최대 스타트업 페어 '넥스트라이즈 서울' 개막…""한국판 CES·MWC 만들겠다""","이외에도 대기업별로 자신들이 추진하는 혁신성장 전략을 소개하고, 스타트업의 성장을 도울 수 있는 전략을 알려주는 전문가 세션 등도 준비돼 있다. 산업은행도 4년 동안 운영하고 있는 벤처투자 플랫폼 'KDB 넥스트라운드' 관련 프로그램을 진행할 예정이다."
"국내 최대 스타트업 페어 '넥스트라이즈 서울' 개막…""한국판 CES·MWC 만들겠다""","산업은행은 올해 처음 개최하는 넥스트라이즈를 국내 최대를 넘어서 세계적인 수준의 스타트업 행사로 발전시키겠다고 밝혔다. 이동걸 산업은행 회장은 ""4차산업혁명 분야에서 우리도 빨리 새로운 기업을 키우고 다이나믹하게 다시 신산업을 만들어나가야 한다""며 ""여기서 뒤처지면 우리도 도태될 수 있다""고 강조했다. 그는 ""넥스트라이즈가 미국의 CES나 스페인의 MWC처럼 한국의 혁신성장을 상징하는 국제적인 플랫폼으로 성장할 수 있기를 희망한다""고 덧붙였다."
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최",산업은행과 한국무역협회가 혁신성장 선도 및 제2벤처붐 조성의 일환으로 공동 주최한 이번 행사는 국내 첫 최대 규모의 글로벌 페어행사로 국내 스타트업 뿐 아니라 국내외 글로벌 대기업 및 벤처캐피탈이 대거 참여한 가운데 진행됐다.
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최","우선 이번 박람회에서는 스타트업과 기존 기업 간 1대1 사업협력 상담의 장이 마련됐다. 상담 기업에는 삼성과 현대차, SKT, LG, 롯데, 포스코, 한화, GS, KT, S-오일, 한국전력 뿐 아니라 네이버, NC소프트, 스마일게이트 등 대기업 및 벤처1세대 성공기업 다수가 참여한다. 또한 아마존과 레노보, BASF, 알리바바 클라우드 등 글로벌기업도 참가한다."
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최",앞서 산은과 무역협회는 지난 6월까지 국내외 벤처스타트업을 대상으로 현장상담 접수를 받아 약 900여건의 미팅을 사전 확정했다. 또한 200여 개별 전시부스에서 진행될 현장상담까지 포함할 경우 대략 2000여 건 이상의 사업협력·투자유치 상담이 실시될 것으로 전망된다.
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최","또 국내외 저명인사들이 대거 연사로 참여해 스타트업 생태계 활성화에 대한 경험 및 인사이트를 공유한다. 한국계 기조연사로는 실리콘밸리에서 1억불 이상 투자를 유치한 SendBird의 김동신 대표, 국내 유니콘기업에 가장 많이 투자하고 있는 Altos Ventures의 한킴 대표 등이 참여를 확정했고 외국계에서는 유명 벤처캐피탈인 500 Startups의 Christine Tsai 대표, 인도네시아의 전자상거래 유니콘 기업인 Bukalapak의 Fajrin Rasyid 대표 등이 연사로 나선다."
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최","이날 행사에서는 기조강연과 현장상담 외에도 세미나, 포럼 등 다양한 프로그램들이 양일 간에 걸쳐 진행될 예정이다. 국가별 세션에서는 각 국가별 스타트업 지원체계와 진출전략을 다룬다. 캐나다, 이스라엘, 스페인, 아일랜드, 두바이, 브라질, 호주 등과 더불어 인도네시아, 태국, 대만, 중국, 말레이시아, 베트남, 인도, 싱가포르 등 전세계 생태계를 총망라하는 프로그램들이 순차적으로 진행된다."
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최","기업별 세션에서는 삼성 NEXT, 현대차, BMW, Airbus, Beiersdorf, Johnson&amp;Johnson, Alibaba Cloud, Go-jek 등 국내외 대기업 및 유니콘기업들이 자사의 오픈이노베이션 전략 및 스타트업과의 협업 사례를 공유한다. 이외에도 스타트업을 위한 M&amp;A 전략, 스타트업의 팀빌딩 전략, 스타트업을 위한 브랜드 마케팅, 바이오 진단시장의 패러다임 전환, 글로벌 핀테크 규제현황 등 다양한 전문가 세션도 진행된다."
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최","산은은 이번 '넥스트라이즈' 행사를 통해 국내 벤처·스타트업의 해외진출 및 스케일업 지원 뿐 아니라 동남아 지역 스타트업을 국내 벤처투자 생태계로 연결하고, 해외 투자자들로 하여금 국내 스타트업에 관심을 갖도록 유도하는 장으로 만드는 등 스타트업과 기존 기업 간을 연결하는 명실상부한 국제 플랫폼으로 자리매김하겠다는 구상이다."
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최","이동걸 산은 회장은 이날 개회사를 통해 “올해 처음 개최하는 '넥스트라이즈'가 미국의 CES, 스페인의 MWC와 같이 한국의 혁신성장을 상징하는 국제적인 플랫폼으로 성장할 수 있기를 희망한다”고 밝혔다."
"산은-무역협회, 국내 최대 글로벌 스타트업 페어 '넥스트라이즈 2019' 개최","ⓒ (주)데일리안 - 무단전재, 변형, 무단배포 금지"
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막","'넥스트라이즈 2019, 서울'은 산은과 무협이 벤처기업협회, 벤처캐피탈협회, 국가과학기술연구회와 함께 23~24일 개최하는 스타트업 페어다. 국내에서 처음으로 열리는 최대 규모의 글로벌 행사로서 국내·외 벤처·스타트업, 대기업 및 투자자가 대거 참여한다."
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막",이번 행사에서는 국내·외 글로벌 대기업들과 벤처캐피탈이 참여해 사업협력 및 투자유치 상담이 진행된다.
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막",스타트업과의 1대1 사업협력 상담에는국내 대표기업들이 대거 참여한다. 삼성·현대차·SK텔레콤·LG·롯데·포스코·한화·GS· KT·S-오일·한국전력과 함께 네이버·NC소프트·스마일게이트 등 대기업 및 벤처 1세대 성공기업 다수가 참여한다. 또 글로벌기업인 아마존·레노버·BASF·알리바바 클라우드와 미국 AR 유니콘인 매직 리프(Magic Leap) 등도 현장상담에 참여한다.
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막",투자자와의 1대1 투자유치 상담에는 국내 대표 벤처캐피탈(VC)들이 모두 참여하고 일본·싱가포르·호주·브라질 등 여러 국가의 VC들도 1대 1 상담에 참여한다.
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막","이를 위해 산은과 무협은 지난 6월까지 국내·외 벤처·스타트업을 대상으로 대기업 및 VC들과의 1대1 현장상담 신청을 접수했다. 23~24일 약 900건의 미팅이 사전에 확정, 현재 현장상담이 진행되고 있다. 또 200여개의 벤처·스타트업이 참여하는 전시부스에서 진행될 현장상담까지 포함할 경우 2000여건 이상의 사업협력·투자유치 상담이 실시될 것으로 전망된다."
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막","국내·외 저명인사들도 연사로 나섰다. 한국계 기조연사로는 실리콘밸리에서 1억 달러 이상 투자를 유치한 센드버드(SendBird)의 김동신 대표, 국내 유니콘기업에 가장 많이 투자하고 있는 알토스 벤처스의 한킴 대표, 실리콘밸리의 가장 영향력 있는 한국계 투자자 스톰 벤처스의 남태희 대표, 국내 대표적인 액셀러레이터인 프라이머 권도균 대표 등이 참여한다."
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막","외국계 기조연사로는 유명 벤처캐피탈인 500 스타트업스의 크리스틴 채(Christine Tsai) 대표, 인도네시아의 전자상거래 유니콘 기업인 부칼라팍(Bukalapak)의 공동창업자인 파즈린 라시드(Fajrin Rasyid) 대표, 일본의 대형 벤처캐피탈인 SBI인베스트먼트의 카츠야 카와시마 대표 등이 참여한다."
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막","기조강연 외에도 국가별 세션, 기업별 세션, 세미나, 포럼 등 다양한 프로그램들이 이틀간 진행된다."
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막","이동걸 산은 회장은 ""올해 처음 개최하는 넥스트라이즈가 미국의 소비자가전전시회(CES), 스페인의 모바일월드콩그레스(MWC)와 같이 한국의 혁신성장을 상징하는 국제적인 플랫폼으로 성장할 수 있기를 희망한다""고 말했다."
"산은, ""제2의 벤처붐 확산""…'넥스트라이즈 2019 서울' 개막","이날 개회식에서 최종구 금융위원장과 민병두 국회 정무위원장은 각각 환영사와 축사를 통해 ""벤처·스타트업과 국내외 대기업, 투자자들이 하나로 연결되는 이번 페어가 국내 혁신창업 생태계의 성장 및 활성화에 크게 기여할 것""이라는 기대감을 전했다. 박영선 중소벤처기업부장관도 행사장을 방문해 벤처·스타트업을 격려하고 행사의 성공적 개최를 축하했다."
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?","2017년 10월 지주회사 체제를 구축한 롯데지주는 10월 이전까지 금융계열사 지분을 모두 처분해야 한다. 연간 1000억원 이상 순이익을 거두던 알짜회사인 만큼, 대내외 이목을 끌고 있다."
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",IB업계는 롯데캐피탈이 다시 매물로 나올 가능성에 대비해 잠재 인수후보들이 지속적으로 롯데그룹에 매각 여부를 타진하고 있다고 분위기를 전했다.
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",롯데캐피탈은 롯데가 보유한 금융계열사 중에서도 알짜일 뿐만 아니라 캐피털 업종이라 대주주 적격성 심사를 거치지 않아도 된다.
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?","앞서 롯데카드와 롯데손해보험의 경우 올해 초부터 공개매각 절차를 거쳤다. MBK파트너스-우리은행 컨소시엄과 JKL파트너스에 각각 롯데카드(79.83%)와 롯데손보(53.49%) 지분을 매각하기로 결정했으며, 현재 마무리 단계다."
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?","롯데캐피탈은 롯데그룹의 지원 능력을 바탕으로 'AA-(안정적)' 등급의 높은 신용도를 가지고 있다. 이를 통해 안정적인 자금조달을 확보, 가계대출에서도 타 경쟁사 대비 우위를 점하고 있다."
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",현재 롯데캐피탈 매각과 관련해 롯데그룹 내 인수 가능성도 배제할 수 없다. 롯데그룹 내 가장 유력한 인수 기업으로 일본 롯데홀딩스가 있다. 호텔롯데 또한 연내 상장하지 않는다는 점에서 롯데캐피탈 지분 인수 후 한국 롯데와 시너지 효과를 기대할 수 있다.
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",금융권 관계자는 “롯데캐피탈의 지분 처분 기한이 3개월 앞으로 다가오면서 롯데그룹 내에서도 여러 가지 시나리오를 검토 중인 것으로 안다”며 “다만 금융계열사와 달리 롯데캐피탈의 경우 일본 롯데홀딩스 및 호텔롯데 등을 통한 매각이 가능해 그룹 내 인수 가능성을 배제할 수 없다”고 말했다.
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",이 같은 움직인은 신동빈 롯데 회장의 지배구조를 공고히 하고 과거 경영권 분쟁에 따른 여론을 이번 금융사 매각으로 조기 매듭짓겠다는 의지가 반영됐다.
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",복잡했던 순환출자 해소와 지배구조 투명화에 속도를 내기 위한 절차다.
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",내부 매각 시나리오는 호텔롯데 등이 롯데지주 보유 캐피탈 지분을 사들이는 것이다. 호텔롯데는 캐피탈 지분 39.37%를 보유한 최대주주다. 하지만 향후 호텔롯데 역시 지주사 체제 내부로 편입될 것으로 분석되는 까닭에 내부 매각은 대안이 될 수 없다.
"[이슈분석]금융계열사 매각하는 롯데, 지배구조 전망은?",특히 롯데그룹이 금융계열사 지분 정리 과정에서 거래 종결성을 중요시하는 등 잡음 없는 매각을 택하고 있다는 점도 외부 매각 가능성을 높이고 있는 대목이다.
"롯데쇼핑, 롯데카드 지분 20% 취득한다","롯데지주는 28일 이사회를 열고 롯데카드 지분 13.95%를 롯데쇼핑에 매각하기로 결의했다고 공시했다. 매각대금은 2292억원이다. 동시에 롯데캐피탈과 부산롯데호텔이 각각 보유한 지분 4.59%와 1.02%, 신동빈 롯데그룹 회장과 신영자 전 롯데장학재단 이사장 지분으로 추정되는 0.44%도 롯데쇼핑에서 995억원에 일괄 매입하기로 했다. 거래는 오는 10월 11일까지 마무리할 예정이다. 거래 종료 후 롯데지주 자회사인 롯데쇼핑은 롯데카드 지분 20%를 보유할 전망이다."
