title_dt,body_dt
31일 장 마감 후 주요 종목뉴스,△E1(017940)= 11월부터 국내 LPG 공급가격을 kg당 50원 인상한다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△알테오젠(196170)= 디엠바이오와 바이오시밀러 생산 및 공급에 관한 양해각서를 체결했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△NHN(035420)= 디지털 마케팅 자회사 NHN ACE이 영국 결제 업체인 ‘뱅고(Bango)’와 데이터 제휴를 위한 파트너십을 체결했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△한진중공업(097230)= 이달 초 방위사업청이 발주한 2460억원 규모 해군의 차기고속정(PKX-B) 13~16번함 4척에 대한 함정 건조계약을 체결했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△대원제약(003220)= 해외제약사의 골다공증 치료제 바이오시밀러(바이오의약품 복제약)인 테로사카트리지주(테로사)를 국내에서 판매하기 위한 허가를 획득했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△롯데정밀화학(004000)= 3분기 영업이익 514억원을 기록하며 전년 동기대비 5.1% 증가한 실적을 올렸다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△세아베스틸(001430)= 3분기 연결기준으로 4억원의 영업손실을 기록하며 적자전환했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△현대자동차(005380)= 안정적 자금운용과 수익성 제고를 위해 현대차증권으로부터 600억원 규모의 MMT(Money Market Trust)를 매수했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△HDC현대산업개발(294870)= 신흥 주택재건축정비사업조합과 신흥 주택재건축정비사업 공사도급 변경계약을 체결했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△SK디스커버리(006120)= 자회사인 SK플라즈마의 경기도 오산시 고현동 소재 토지 처분 예정일자를 10월 31일에서 2020년 3월 31일로 변경한다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△효성(004800)= 3분기 연결기준 영업이익이 252억원을 기록해 전년 동기 대비 42% 감소했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△한독(002390)= 연구개발관련 시설투자를 통한 중장기 성장동력 확보를 위해 연구소 신설에 대해 652억원 규모의 신규시설투자를 진행한다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△SK디앤디(210980)= 현재 투자 중인 ‘이지스전문투자형사모부동산투자신탁133호’(부동산펀드)가 경기도 성남시 분당구 백현동에 위치한 호텔 부동산을 매각하게 됐다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△효성(004800)= 계열사인 효성티앤씨와 2020년 1월 1일부터 2020년 12월 31일까지 효성 브랜드 사용료에 대해 수의계약을 체결했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△BGF(027410)= 이건준 전 대표이사 일신상의 이유로 사임해 홍정국 대표이사로 대표집행임원을 변경한다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△롯데지주(004990)= 계열사인 롯데카드와 롯데 브랜드 사용에 대해 맺은 수의계약이 지난 10월 10일 자로 해지·종료되었다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△두산(000150)= 3분기 연결 기준 영업이익이 전년 동기 대비 33.4% 감소한 1697억을 기록했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△두산중공업(034020)= 3분기 연결기준 영업이익이 1389억원으로 전년 동기 대비 32.92% 감소한 것으로 잠정 집계됐다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△유한양행(000100)= 3분기 영업이익이 102억원으로 전년 동기 대비 131.9% 증가했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△휠라코리아(081660)= 다음달 15일 서울시 강동구 천호대로 1077 이스트센트럴타워 15층 대강당 컨벤션홀에서 임시주주총회를 개최한다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△대림산업(000210)= 3분기 연결기준 영업이익이 2230억원으로 지난해 동기보다 8.52% 증가했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△BNK금융지주(138930)= 3분기 영업이익이 전년 동기 대비 9.12% 감소한 2441억원을 기록했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△DGB금융지주(139130)= 3분기 영업이익이 전년 동기 대비 5% 감소한 1039억원을 기록했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△고려개발(004200)= 3분기 영업이익이 전년 동기 대비 52% 증가한 149억원을 기록했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△현대오토에버(307950)= 3분기 연결 기준 영업이익이 206억4900만원을 기록해 전년 동기 대비 5.2% 증가했다고 밝힘.
31일 장 마감 후 주요 종목뉴스,△녹원씨엔아이(065560)= 기업심사위원회의 심의 결과 상장폐지로 결론이 났다고  밝힘.
31일 장 마감 후 주요 종목뉴스,△신라젠(215600)= 지난 3월 21일 키움증권 등을 상대로 발행한 1100억원 규모 전환사채(CB)를 장외에서 만기 전 취득했다고 밝힘.
