title_dd,body_dd
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,"자금 소진 못 한 PEF, 兆 단위 남아…“매물 나오면 무조건 산다”"
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,대기업은 내년을 비핵심사업이나 일부 사업부 분할매각을 진행할 최적의 해로 내다보고 있다. 올해에도 코오롱인더스트리와 SKC가 합작 설립한 폴리이미드 필름 세계 1위 업체인 ‘SKC코오롱PI’가 글랜우드프라이빗에쿼티(PE)에 팔렸다.
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,LG그룹도 올해 비핵심 사업에 대해서는 과감하고 신속한 조치를 단행했다. LG전자의 연료전지 사업을 청산하고 수처리 사업을 매각한 게 대표적 예다. LG유플러스는 최근 전자결제 사업 매각을 추진하고 거래 완료를 앞두고 있다. 금호그룹도 유동성 위기에서 완전히 벗어난 것은 아니란 점에서 금호고속도 시장에 내놓을 수 있다는 분석이다.
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,IB업계 관계자는 “안으로는 일감 몰아주기 규제를 해결하는 동시에 비핵심 자산을 파는 기업이 많았다”며 “내년에는 기업의 사업 재편 수요에 힘입어 M&amp;A 시장도 달아오를 전망”이라고 말했다.
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,"PEF 가운데 ‘조 단위’ 자금력을 쏟아 부을 곳은 칼라일, KKR, 블랙스톤, TPG, 어피너티, 베인캐피탈, MBK파트너스, 한앤컴퍼니, IMM PE 등을 꼽는다."
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,국내 최대 PEF 운용사인 MBK는 최근 42억달러(약 5조원) 규모를 1차 모집한 데 이어 내년 초까지 기관투자가 자금을 추가 유치해 최대 65억달러(약 7조7300억원) 규모 5호 펀드 조성을 완료할 예정이다. IMM은 지난 11월 말 기준 1조9000억원 규모를 모집한 데 이어 내년 초까지 추가로 자금을 모집해 2조2000억원 규모의 로즈골드 4호 펀드 조성을 완료할 계획이다. 스틱인베스트먼트는 이미 1조2100억원 규모를 모집한 스페셜시추에이션(SS) 2호 펀드를 내년 초까지 1조5000억원으로 늘릴 계획이다.
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,"여기에 칼라일은 지난 2018년 65억달러(7조7000억원)규모의 아시아파트너스 5호 펀드를, KKR은 125억달러(15조원) 규모의 아시아 펀드를 조성해 호시탐탐 한국 기업을 노리고 있다. 칼라일과 KKR 이외에 베인캐피탈, TPG, 한앤컴퍼니 등은 올해 자금 소진을 다하지 못했다."
[2019 M&A]⑩내년 M&A시장 십자포화 예고…큰 장 선다,IB업계 관계자는 “투자기한은 점점 줄고 있는데 마땅히 투자할 매물은 많지 않아 괜찮은 매물이 등장하면 전부 매달리고 있다”며 “반대로 대기업의 비핵심사업 정리가 내년에도 핵심 화두가 될 것으로 보여 시장의 바이어가 충분한 상황임을 고려하면 활발한 인수합병이 비핵심사업이나 일부 사업부 분할매각을 진행할 것으로 보인다”고 말했다.
'대어' 쏟아지는 내년 M&A 시장…큰손 PEF가 주도,"특히 배달의민족(배민)과 여기어때, 수아랩 등은 올 하반기 국내 인수합병 시장에서 인수금액으로만 5조5000억원을 기록했다. 하반기에 3개의 딜만 합하더라도 작년 수준에 이른다. 배민은 올해 국내 기업 최대 규모 M&amp;A로 ‘끝판왕’ 자리에 올랐다. 미국의 글로벌 뷰티기업인 에스티로더가 1조원이 넘는 금액으로 닥터자르트를 인수하는 등 기술력을 인정받은 국내 기업에 초대형 자본의 손길이 이어졌다."
'대어' 쏟아지는 내년 M&A 시장…큰손 PEF가 주도,내년에는 대기업의 구조조정 매물이 쏟아질 것으로 예상돼 수십조원 규모의 자본력을 갖춘 대형 PEF가 ‘메가 딜’을 주도할 전망이어서 치열한 M&amp;A 대전을 예고하고 있다.
'대어' 쏟아지는 내년 M&A 시장…큰손 PEF가 주도,이와 함께 스몰딜의 약진도 빛났다. 유니슨캐피탈은 밀크티 브랜드 공차를 올해 미국계 사모펀드(PEF) TA어소시에이츠에 3500억원에 매각하며 두드러진 성과를 보였다. 이 투자로 투자 원금 대비 여섯 배가량의 수익을 올렸다. 이 거래는 국내 PEF가 해외 프랜차이즈 본사를 인수해 기업가치를 끌어올린 뒤 매각하는 첫 사례로 기록됐다.
'대어' 쏟아지는 내년 M&A 시장…큰손 PEF가 주도,"올해 대형 딜에서 국내 PEF의 선전이 눈에 띈다. 1조4000억원에 달한 롯데카드 인수전에서 국내 1위인 MBK파트너스가, 린데코리아(IMM PE), SKC코오롱PI(글랜우드PE), LG CNS 소수지분(맥쿼리PE) 등에서도 PEF의 승리로 돌아갔다."
