title_dt,body_dt
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"금융감독원은 30일 발표한 ‘11월 중 기업의 직접금융 조달실적’을 보면 지난달 주식 발행액은 7,748억원으로 전월보다 2,907억원(60.0%) 증가했다."
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,IPO가 월 기준 최대 규모를 기록하고 유상증자 실적도 증가하며 주식 발행 규모가 늘었다.
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"지난달 IPO 규모는 5,234억원으로 10월보다 1,309억원(33.4%) 늘었다. 한화시스템, 현대에너지솔루션, 센트랄모텍 등 코스피 3개사와 코스닥 14개사 등 총 17개사가 지난달 상장을 마쳤다."
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"유상증자 규모는 1,598억원(174.5%) 증가한 2,514억원이었다. 동양물산 등 코스피 1건과 코스닥 6건이 지난달 유상증자를 단행했다."
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"지난달 회사채 발행 규모는 11조3,983억원으로 전달보다 8조8.264억원(43.6%) 감소했다."
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"종류별로는 일반회사채가 1조7,080억원으로 75.9% 줄었고 금융채도 8조5,255억원으로 21.6% 감소했다. 자산유동화증권(ABS)은 1조1,648억원으로 48.9% 줄었다."
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"회사별 발행액은 신한은행 1조4,545억원, 국민은행 5,000억원, 신한카드 4,500억원, 롯데카드 4,200억원, 신한캐피탈 3,800억원, KB국민카드·현대캐피탈 각 3,400억원 등이다."
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"11월 말 기준 회사채 미상환 잔액은 522조8,783억원으로 전월보다 1조8,214억원 늘어났다. 지난달 기업어음(CP) 발행액은 42조4,558억원으로 전월보다 17.4% 늘었고 전자단기사채는 108조6,461억원으로 7.5% 증가했다."
11월 주식 발행액 전월비 60% 증가···IPO·유상증자↑,"발행 잔액은 CP가 188조1,351억원으로 한 달 전보다 5.8% 증가했고 전자단기사채는 56조7,195억원으로 1.8% 늘었다."
금주(12월 20일~26일)의 신설법인,27일 한국경제신문과 나이스신용평가정보가 조사한 신설법인 현황에 따르면 이번 주 서울 지역의 신설법인은 485개로 집계됐다. 이어 부산(88개) 인천(86개) 대구(66개) 광주(45개) 대전(47개) 울산(33개) 순이었다.
금주(12월 20일~26일)의 신설법인,업종별로는 서비스·기타(408개) 유통(157개) 정보통신(58개) 건설(58개) 기계(27개) 관광운송(19개) 무역(18개) 전기전자(17개) 식품(16개) 금속(14개) 잡화(12개) 화학(11개) 인쇄출판(10개) 등이 많았다. 섬유(9개) 건자재(7개) 농수축산(6개) 가구목재(2개) 피혁(1개) 광업(0개) 등은 10개 미만이었다.
