title_dd,body_dd
"엘페이, 서울시 지방세 납부 서비스 오픈","최근 지방자치단체와 공공기관에서는 다양한 결제 서비스를 도입해 시민들의 편의를 도모하고 있다. 이에 롯데멤버스는 서울시 인터넷 세금 납부 시스템, 이택스(ETEX)에 엘페이 서비스를 도입했다."
"엘페이, 서울시 지방세 납부 서비스 오픈","엘페이 회원들은 공인인증서 없이 결제 비밀번호나 지문인식만으로 각종 세금을 손쉽게 납부할 수 있다. 재산세, 자동차세, 주민세 등 지방세와 상하수도요금 및 세외수입 등이다. 엘페이에 등록해 둔 모든 신용카드로 세금을 납부할 수 있어 더욱 편리하다."
"엘페이, 서울시 지방세 납부 서비스 오픈",이택스 홈페이지나 모바일앱(STAX)에서 부과자료 조회 후 납부 방법 선택 시 엘페이를 선택하면 된다.
"엘페이, 서울시 지방세 납부 서비스 오픈","조민상 롯데멤버스 플랫폼부문장은 ""이번 서비스로 서울 시민들에게 납세 편의를 제공할 수 있게 됐다""며 ""지자체 및 공공기관과의 협력을 강화해 전국적으로 서비스를 확대할 것""이라고 말했다."
이제 엘페이로 세금 낸다…서울시 지방세 간편결제 도입,[아시아경제 김봉기 기자]서울시민이 롯데의 엘페이(L.pay)로 손쉽게 세금을 낼 수 있게 됐다.
이제 엘페이로 세금 낸다…서울시 지방세 간편결제 도입,롯데멤버스는 서울시 인터넷 세금납부 시스템(ETAX)에 엘페이 간편결제 서비스를 시작했다고 30일 밝혔다.
이제 엘페이로 세금 낸다…서울시 지방세 간편결제 도입,"엘페이 회원은 공인인증서 없이 결제 비밀번호 또는 지문인식으로 각종 세금을 납부할 수 있다. 엘페이로 납부할 수 있는 세금은 재산세, 자동차세, 주민세 등 지방세와 상하수도요금 및 세외수입 등이다. 엘페이에 등록해둔 신용카드로 납부할 수 있다. 서울시 이택스 홈페이지 또는 서울시 세금납부 모바일앱(STAX)에서 부과자료를 조회한 후 납부 방법을 엘페이로 선택하면 된다. 서비스 도입 직후인 현재는 주민세 종업원분, 레저세, 지방소득세 특벼징수분, 재산세, 자동차세 등을 낼 수 있다."
이제 엘페이로 세금 낸다…서울시 지방세 간편결제 도입,"조민상 롯데멤버스 플랫폼부문장은 ""지자체 및 공공기관과의 협력을 강화해 전국적으로 엘페이 세금납부 서비스를 확대하고 간편한 납세 환경을 조성에 이바지할 계획""이라며 ""향후 고객들이 생활 속 엘페이의 편의성을 더욱 체감할 수 있도록 생활밀착형 서비스를 더욱 확대해 나갈 것""이라고 전했다."
"롯데멤버스, ‘2019 송도맥주축제’ 공식 후원","올해로 9회째를 맞은 송도맥주축제는 음악과 맥주를 매개로 다양한 볼거리, 먹거리, 즐길거리가 펼쳐지는 국내 대표 맥주문화축제로, 매년 30여만 명의 방문객이 찾는다. "
"롯데멤버스, ‘2019 송도맥주축제’ 공식 후원","올해는 ‘Pause, Let It Beer’라는 주제 아래, 이달 23일부터 31일까지 송도달빛축제공원에서 인기 뮤지션들의 공연, EDM 파티, 버스킹, 커버댄스, 불꽃놀이 등이 펼쳐질 예정이다."
"롯데멤버스, ‘2019 송도맥주축제’ 공식 후원","메인 스폰서인 롯데멤버스는 축제 기간 동안 엘페이·엘포인트 브랜드 부스와 스테이지, 엘포인트존, 포토존 등을 운영한다. 특히 올해는 행사장 내 무대 2개 중 하나가 엘포인트 브랜드 스테이지로 꾸며져, 울랄라세션, 플라워, 김연자 등 유명 가수들의 공연으로 채워질 예정이다."
