title_dt,body_dt
소비자 월평균 5.7개 쇼핑채널 이용…새벽배송으로 심야 신선식품 주문 늘어,롯데멤버스는 24일 리서치 플랫폼 라임을 통해 전국 17∼60세 남녀 5000명을 대상으로 최근 한 달간 이용한 쇼핑업체를 조사한 '트렌드Y 슬기로운 쇼핑생활 리포트'를 통해 이같이 밝혔다.
소비자 월평균 5.7개 쇼핑채널 이용…새벽배송으로 심야 신선식품 주문 늘어,"조사 결과에 따르면, 1인 가구는 평균 5.2개 쇼핑업체를, 자녀가 없는 기혼자는 4.8개 업체를 이용했다. 영유아기 자녀가 있는 기혼자가 사용하는 업체 수는 6.6개로 크게 늘었다가 자녀들이 성장해 청소년기가 되면 5.9개, 성인이 되면 5.3개로 차츰 감소했다."
소비자 월평균 5.7개 쇼핑채널 이용…새벽배송으로 심야 신선식품 주문 늘어,"소비자들은 주로 대형마트와 오픈마켓을 많이 이용한 가운데 1인 가구는 지역 마트·슈퍼, 소셜커머스, 편의점을, 자녀가 없는 기혼 가구는 백화점과 창고형 대형마트를 많이 찾았다. 영유아기 자녀가 있는 경우는 창고형 대형마트와 소셜커머스를 많이 이용했고, 자녀가 성인이 된 경우에는 지역 마트·슈퍼와 창고형 대형마트로 선호하는 업체가 달라졌다."
소비자 월평균 5.7개 쇼핑채널 이용…새벽배송으로 심야 신선식품 주문 늘어,"또한 구매 시간과 장소가 한정적인 오프라인 쇼핑에서 온라인·모바일로 시장이 넘어오며 쇼핑 시간대가 확대됐을 뿐만 아니라, 온라인 장보기에서도 시간대 변화가 눈에 띄었다."
소비자 월평균 5.7개 쇼핑채널 이용…새벽배송으로 심야 신선식품 주문 늘어,"2016년 오후 1∼4시에 집중됐던 온라인 장보기는 올해는 밤 9∼11시까지 심야시간대 주문이 5.5% 증가했다. 이에 대해 롯데 멤버스는 유통사들의 새벽 배송 서비스가 온라인 주문 시간대 변화에 영향을 준 것으로 분석했다. 특히 심야 시간대 주문이 증가한 품목은 육류, 과일, 냉장식품 등으로 다음 날 아침에 먹을 음식 재료를 전날 저녁에 받아 보관하지 않고, 새벽에 받아서 신선하게 요리할 수 있어 심야 주문이 증가했다는 분석이다."
"SK플래닛, OK캐쉬백-엘포인트 전환 서비스 오픈","서비스 연동으로 인해 OK캐쉬백과 엘포인트 고객들은 기존 대비 더 많은 가맹점에서 포인트 사용이 가능해졌다. 고객들은 엘포인트를 OK캐쉬백으로 전환하려면 OK캐쉬백 앱에서, OK캐쉬백을 엘포인트로 전환하려면 엘포인트 앱에서 신청하면 된다. 전환 비율은 1:1이며  최소 전환 단위는 100P, 각 포인트 별로 1인 당 월 10만 포인트(연간 총 120만 포인트)까지 이용할 수 있다."
"SK플래닛, OK캐쉬백-엘포인트 전환 서비스 오픈","양사는 서비스 오픈을 기념하여 이달 31일까지 포인트 재적립 이벤트를 진행한다. OK캐쉬백-엘포인트 전환 시, 전환 금액의 2%를 기존 보유 포인트로 재적립 받을 수 있다. 다만 이벤트 기간 중 한 번 전환한 포인트를 다시 전환하는 것은 불가능하다. 재적립 포인트는 11월 말 지급 예정이다. 해당 이벤트는 제휴사 사정에 따라 조기 종료 될 수 있다."
"SK플래닛, OK캐쉬백-엘포인트 전환 서비스 오픈","SK플래닛 관계자는 ""국내 최대 규모 포인트 간의 교환을 통해 고객들에게 보다 폭 넓은 서비스를 제공 할 수 있게 됐다""며 ""OK캐쉬백이 다년간 축적한 빅데이터 노하우를 활용해 고객이 보유한 포인트의 가치를 높이며 더 많은 혜택을 제공할 수 있도록 노력하겠다""고 말했다."
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,[앵커]
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,세 번째 인터넷은행의 주인공을 찾기 위한 경쟁이 오늘부터 시작됩니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,지난 5월 예비인가에서 탈락한 토스와 키움의 재도전 여부뿐 아니라 새로운 업체의 도전 가능성에 대해서도 관심이 집중되고 있는데요.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,"자세한 내용, 김정연 기자 연결합니다."
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,제3인터넷전문은행의 운영권을 얻기 위한 예비인가가 오늘 공식적으로 시작되죠?
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,[기자]
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,네. 금융위원회와 금융감독원은 오늘부터 오는 15일까지 신규 인터넷은행 예비인가 신청을 받습니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,이번 신청은 카카오뱅크와 케이뱅크에 이은 세 번째 인터넷전문은행의 설립을 위한 건데요.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,지난 5월에 이미 한 차례 예비인가 신청을 했지만 금융당국은 당시 참여했던 토스와 키움 컨소시엄을 모두 탈락시켰습니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,토스는 자본력이 부족하고 키움은 혁신성이 부족하다는 게 이유였습니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,[앵커]
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,그렇군요. 제3인터넷은행에 도전할 후보군은 어디로 꼽힙니까?
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,[기자]
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,우선 앞서 고배를 마신 토스와 키움이 재신청할 가능성이 높습니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,토스는 SC제일은행과 컨소시엄 구성을 타진해 탈락 이유였던 자본력을 보강하고 있는 것으로 전해집니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,키움의 경우 기존 컨소시엄에 참여했던 KEB하나은행과 SK텔레콤의 이탈 가능성이 계속 나오고 있는데요.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,대신 상반기 키움뱅크 컨소시엄에 참여했던 코리아세븐이나 롯데멤버스 등 롯데 계열이나 여타 후보군이 다시 참여할 가능성도 있기 때문에 자본 조달에는 큰 무리가 없을 것이라는 전망도 나옵니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,현재까지 참여를 공식화한 곳은 소상공인연합이 주도하는 '소소스마트뱅크' 한 곳이고요.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,이밖에 신한금융의 참여 여부에도 관심이 쏠리고 있습니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,금융당국은 신청서가 접수되면 외부평가위원회 심사 등을 거쳐 연말쯤 새 인터넷전문은행 대상자를 발표할 전망입니다.
제3인터넷은행 예비인가 접수…토스·키움 재도전할까?,SBSCNBC 김정연입니다.
"제3인터넷은행 운영권, 토스·키움 재도전 ‘유력’",9일 금융당국에 따르면 금융위원회와 금융감독원은 10일부터 15일까지 엿새간 제3인터넷은행 예비인가 신청을 받는다. 금융당국은 신청서류를 토대로 외부평가위원회 등을 거쳐 심사 결과를 낸다. 예비인가 대상자 발표는 연말께 이뤄질 전망이다.
"제3인터넷은행 운영권, 토스·키움 재도전 ‘유력’",15일까지 예비인가 신청 접수
"제3인터넷은행 운영권, 토스·키움 재도전 ‘유력’","토스, SC제일銀과 동맹 가능성"
"제3인터넷은행 운영권, 토스·키움 재도전 ‘유력’",키움은 하나銀·SKT 이탈하고
"제3인터넷은행 운영권, 토스·키움 재도전 ‘유력’",다른 업체와 컨소시엄 꾸릴 듯
"제3인터넷은행 운영권, 토스·키움 재도전 ‘유력’","이번 예비인가 신청은 지난 5월 금융당국이 키움과 토스 컨소시엄을 모두 탈락시킨 후 4개월 만이다. 당시 결과는 ‘탈락’이었지만 실제 내용은 부족한 부분을 보완해 다시 신청하라는 의미였다. 토스는 안정성이, 키움은 혁신성이 문제였다. 특히 토스의 경우 전략적 투자자를 구하지 못한 게 문제가 됐다."
"제3인터넷은행 운영권, 토스·키움 재도전 ‘유력’",여러 정황상 연초 예비인가 신청 후보군에서 큰 상황 변화가 없는 것으로 보인다. 토스와 키움 컨소시엄 측 역시 아직 예비인가전 참여 여부를 공식화하지 않은 상태다. 굳이 패를 먼저 보여줄 필요가 없다는 인식에 따른 것으로 보이는데 15일 마감 직전에 참여할 것이란 관측이 우세하다.
