title_dt,body_dt
"덜 더운 여름, 덜 추운 겨울… 냉난방 가전 매출 급락",불황 속 인터넷쇼핑 급성장
"덜 더운 여름, 덜 추운 겨울… 냉난방 가전 매출 급락","지난해보다 덜 더운 여름, 덜 추운 겨울에 올해 냉난방 가전 매출이 크게 하락했다."
"덜 더운 여름, 덜 추운 겨울… 냉난방 가전 매출 급락",유통 불황 속에 인터넷 쇼핑은 홀로 성장하며 주요품목이 식료품·패션에서 가전으로 확대된 것으로 조사됐다.
"덜 더운 여름, 덜 추운 겨울… 냉난방 가전 매출 급락","빅데이터 컨설팅 기업 롯데멤버스는 26일 엘포인트 소비지수로 살펴본 올 하반기 주요 유통 트렌드를 발표했다. 올 하반기 엘포인트 소비지수는 8월(0.3%)과 11월(1.3%)에 전년 동월 대비 소폭 상승한 것을 제외하고, 나머지 달에는 모두 전년 동월 대비 마이너스를 기록했다. 특히 계절적 요인에 따른 소비 부진이 확인됐다. 지난해보다 ‘덜 더운 여름’과 ‘덜 추운 겨울’의 영향으로 계절특수가 사라지면서, 여름인 7월과 8월의 냉방 가전 지수는 전년 동월 대비 마이너스 55.7%, 물놀이용품도 마이너스 39.0%를 기록했다. 10월과 11월 역시 난방 가전이 마이너스 35.7%, 방한 의류가 마이너스 26.7%로 계절 관련 소비가 크게 줄었다."
"덜 더운 여름, 덜 추운 겨울… 냉난방 가전 매출 급락","반면 계절과 상관없이 연중 미세먼지 등이 기승을 부리면서 공기청정기, 의류관리기, 건조기 등 ‘클린 가전’ 소비가 전년 동기 대비 16.8% 증가한 것으로 나타났다. 2016년 이후 클린 가전 3종의 연평균 성장률은 115%에 달한다. 특히 새롭게 떠오르는 의류관리기와 건조기 소비는 올해 하반기 각 33.4%, 3.1%씩 증가했다."
"덜 더운 여름, 덜 추운 겨울… 냉난방 가전 매출 급락","한편 유통가 불황 속에서도 인터넷 쇼핑은 성장세를 보였다. 판매액 기준 하반기 인터넷 쇼핑은 전년 동기 대비 24.9% 증가했다. 인터넷 쇼핑이 성장하면서 주요 품목도 기존 생필품, 신선식품 등 장보기 중심에서 가전으로까지 확대된 것으로 나타났다. 11월의 경우 인터넷 쇼핑 중 전년 동월 대비 소비 증가가 가장 높은 상품이 전기밥솥(145.7%), 냉장고(17.4%) 등 가전제품이었다."
"덜 더운 여름, 덜 추운 겨울… 냉난방 가전 매출 급락","황윤희 롯데멤버스 빅데이터부문장은 “대내외 불확실성이 증가하며 소비심리가 위축, 지난해 대비 올 하반기 소비지수가 하회했다”고 말했다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,송 부회장은 황각규 기존 롯데지주 공동대표와 '투톱'으로 신동빈 회장을 보좌합니다.
롯데지주 황각규·송용덕 '투톱' 체제 가동,"황 부회장은 기존 롯데지주 이사회 의장직을 계속 수행하며 그룹의 미래 사업과 글로벌 사업 전략, 재무, 커뮤니케이션 업무를 맡고 송 부회장은 인사, 노무, 경영 개선 업무를 담당합니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,유통 BU장에는 이원준 부회장이 용퇴한 자리에 강희태 롯데백화점 대표이사 사장이 부회장으로 승진 후 임명됐습니다.
롯데지주 황각규·송용덕 '투톱' 체제 가동,호텔·서비스 BU장에는 롯데지주에서 그룹 재무 업무를 총괄해 온 이봉철 롯데지주 재무혁신실장이 선임됐습니다.
롯데지주 황각규·송용덕 '투톱' 체제 가동,롯데그룹은 미래 경쟁력 강화를 위해 그룹의 주요 성장축인 롯데쇼핑과 롯데케미칼 조직도 전면 개편했습니다.
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데쇼핑은 기존 대표이사 체제로 운영됐던 백화점과 마트, 슈퍼, e커머스, 롭스 사업부문을 롯데쇼핑 대표 이사 체제의 통합법인으로 재편하고 계열사를 법인 사업부로 전환했습니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데쇼핑은 백화점 사업부장에 롯데홈쇼핑 황범석 상품본부장, 슈퍼 사업부장에 롯데마트 남창희 전무, e커머스 사업부장에 롯데지주 조영제 전무, 롭스 사업부장에 롯데백화점 홍성호 전무가 선임되는 등 롯데마트를 제외한 4개 사업부 수장이 교체됐습니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,"올해 실적이 좋았던 롯데홈쇼핑 이완신 대표는 부사장에서 사장으로 승진했고, 편의점 세븐일레븐 운영사인 코리아세븐은 최경호 상무가 전무로 승진하며 새 대표로 선임됐습니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데컬처웍스 대표에는 기원규 롯데지주 전무가, 롯데멤버스 대표에는 전형식 상무가 전무로 승진, 내정됐습니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데케미칼은 내년 1월1일 예정된 롯데첨단소재와 합병 이후 통합 케미칼 대표이사 아래 기초소재사업 대표와 첨단소재사업 대표의 양 체제로 개편되는데, 통합 케미칼 대표이사는 김교현 화학BU장이 겸임합니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,기초소재사업 대표는 임병연 롯데케미칼 대표가 유임됐고 첨단소재사업 대표는 롯데첨단소재 이영준 전무가 부사장으로 승진하면서 내정됐습니다.
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데칠성음료는 기존 음료와 주류 각자 대표이사 체계로 운영됐던 것을 이번 인사에서 이영구 대표이사 체제로 통합해 음료와 주류의 유통, 생산, 판매에서 시너지 효과를 노렸습니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,롯데지주에서는 박현철 경영개선실장이 사장으로 승진했으며 재무1팀장 추광식 상무가 전무로 승진하면서 재무혁신실장에 임명됐습니다.
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데정밀화학은 정경문 전무가, 롯데비피화학은 롯데케미칼 김용석 전무가 새 대표가 됐습니다."
롯데지주 황각규·송용덕 '투톱' 체제 가동,"롯데중앙연구소 대표이사는 이경훤 전무가, 롯데자이언츠 대표에는 롯데케미칼 이석환 전무가 내정됐습니다."
