title_dd,body_dd
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동",29일 유통업계에 따르면 롯데멤버스는 최근 베트남·인도네시아 엘포인트 전환 서비스를 시작했다. 그동안 양국에서 각각 운영된 현지 엘포인트와 한국 엘포인트를 연동해 상호 전환할 수 있다. 3개국 엘포인트 회원이 상대국 방문 시 현지 엘포인트로 전환해 현금처럼 사용할 수 있다.
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동","롯데멤버스는 국가별 전환 비율을 베트남 1대 20, 인도네시아 1대 12로 설정했다. 고정 비율이 적용되며 전환 수수료가 없기 때문에 시점에 따라 원화보다 유리한 조건으로 환전할 수 있다. 사용 후 잔여 포인트는 다시 기존 국가 엘포인트로 바꿀 수 있다."
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동","롯데멤버스는 엘포인트 사업 모델을 동남아에 적용해 지난 2013년 '엘포인트 인도네시아', 2016년 '엘포인트 베트남'을 론칭했다. 회원 수는 한국 3900만명, 인도네시아 460만명, 베트남 330만명 규모다."
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동","엘포인트 베트남은 롯데호텔, 롯데센터 전망대, 롯데백화점, 롯데마트, 롯데시네마, 롯데리아, 엔제리너스 등 현지 롯데 가맹점은 물론 UOB은행 등 12개 제휴사 가맹점에서 적립·사용 가능하다. 엘포인트 인도네시아는 롯데면세점, 롯데쇼핑에비뉴, 롯데마트, 롯데슈퍼, 롯데시네마, 롯데리아, 엔제리너스 등 현지 롯데 계열 가맹점과 사히드호텔 등 25개 제휴사를 보유했다."
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동","롯데멤버스는 우리나라와 동남아를 잇는 글로벌 엘포인트 생태계를 구축하게 됐다. 최근 워라밸(일·삶 균형), 한 달살기 트렌드에 따라 동남아를 여행하는 한국인과 한류 열풍을 좇아 한국을 찾는 동남아 관광객이 늘고 있는 추세다. 이번 3개국 간 전환 서비스가 각국 관광객이 엘포인트 사용이나 적립을 위해 현지 롯데 계열 매장을 방문하도록 유도하는 효과를 낼 것으로 보인다."
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동",국가 간 포인트 전환 절차는 간단하다. 엘포인트 모바일 애플리케이션(앱) '전환하기' 페이지에서 보유 포인트 현황과 전환 시 금액 등을 확인한 후 즉시 바꿀 수 있다.
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동","현재 월 최대 한도는 50만 엘포인트(베트남 600만, 인도네시아 1000만)다. 향후 최대 200만 포인트까지 상향 조정될 예정이다."
"""베트남·인니서 쌓은 엘포인트, 韓에서 쓴다""...롯데멤버스, 업계 최초 해외 연동",롯데 관계자는 “베트남·인도네시아 엘포인트는 현지 법인에서 수년간 안정적으로 운영한 서비스”라면서 “3개국 회원에게 한층 편리한 엘포인트 서비스를 제공할 수 있을 것”이라고 말했다.
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,빅데이터 컨설팅 컴퍼니 롯데멤버스가 엘포인트(L.POINT) 소비지수로 살펴본 올 하반기 주요 유통 트렌드를 공개했다.
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,올 하반기 엘포인트 소비지수는 전년 동월 대비 8월(0.3%)과 11월(1.3%) 소폭 상승 외 모두 마이너스를 기록했다. 11월 소비지수 반등에는 코리아세일페스타 등 유통 이벤트 영향이 컸던 것으로 분석된다.
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,"올 하반기 소비패턴에서는 ‘계절성 약화’가 두드러졌다. ‘덜 더운 여름’과 ‘덜 추운 겨울’의 영향으로 유통가 전반에서 계절특수가 사라진 것. 실제 7~8월에는 여름 인기품목인 냉방가전(-55.7%), 물놀이용품(-39.0%) 소비가, 10~11월에는 난방가전(-35.7%), 방한의류(-26.7%) 소비가 전년 동월 대비 크게 줄었다."
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,불황 속에서도 인터넷 쇼핑은 선전했다. 엘포인트 유통영역별 소비지수에서 인터넷 쇼핑만이 올 하반기 내내 전년 동월 대비 증가세를 이어갔다. 특히 11월에는 코리아세일페스타 덕분에 인터넷 쇼핑 소비지수가 전년 동월 대비 7.5% 상승했다. 행사 기간 내 판매액 증가율로 봐도 전년 동기 대비 가장 많이 늘어난 영역은 인터넷 쇼핑(24.9%)이다.
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,"온라인 쇼핑이 일상화되면서 소비자들의 온라인 쇼핑 영역 또한 빠르게 확대되고 있다. 올 하반기 엘포인트 빅데이터를 살펴보면, 인터넷 쇼핑 영역이 기존 생필품, 신선식품 등 장보기 중심에서 고관여 제품인 가전 구매로까지 대폭 확대됐음을 확인할 수 있다."
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,"지난 11월 인터넷 쇼핑에서 전년 동월 대비 소비 증가가 가장 두드러진 상품군은 전기밥솥(145.7%), 냉장고(17.4%)였다."
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,코리아세일페스타 기간 판매액이 지난해 대비 가장 뚜렷하게 증가한 상품군 역시 ▲휴대폰(591.7%) ▲스탠드형 김치냉장고(437.7%) ▲건조기(211.0%) 등 전자 제품으로 나타났다. 지난해 행사 기간 동안 ▲유아동 운동화(91.8%) ▲여성 스니커즈(73.7%) ▲여성 재킷(53.0%) 등 패션 상품 판매가 급증했던 것과는 대조적이다.
온라인 쇼핑의 일상화…장보기에서 가전까지 영역 확대,"클린가전의 인기는 올 하반기에도 지속됐다. 공기청정기, 의류관리기, 건조기 등 클린가전 소비는 전년 동기 대비 16.8% 증가했다. 2016년 이후 클린가전 3종의 연 평균 성장률은 115%에 달한다."
